#x_coordinates 	 y_coordinates
2.00000	1.00000
1.99179	1.12788
1.96729	1.25365
1.92692	1.37527
1.87132	1.49072
1.80141	1.59811
1.71835	1.69568
1.62349	1.78183
1.51839	1.85514
1.40478	1.91441
1.28453	1.95867
1.15960	1.98718
1.03205	1.99949
0.90398	1.99538
0.77748	1.97493
0.65463	1.93847
0.53746	1.88660
0.42788	1.82017
0.32770	1.74028
0.23855	1.64823
0.16191	1.54553
0.09903	1.43388
0.05094	1.31511
0.01844	1.19116
0.00205	1.06407
0.00205	0.93593
0.01844	0.80884
0.05094	0.68489
0.09903	0.56612
0.16191	0.45447
0.23855	0.35177
0.32770	0.25972
0.42788	0.17983
0.53746	0.11340
0.65463	0.06153
0.77748	0.02507
0.90398	0.00462
1.03205	0.00051
1.15960	0.01282
1.28453	0.04133
1.40478	0.08559
1.51839	0.14486
1.62349	0.21817
1.71835	0.30432
1.80141	0.40189
1.87132	0.50928
1.92692	0.62473
1.96729	0.74635
1.99179	0.87212
2.00000	1.00000
