#x_coordinates 	 y_coordinates
1.02500	1.00000
1.02479	1.00320
1.02418	1.00634
1.02317	1.00938
1.02178	1.01227
1.02004	1.01495
1.01796	1.01739
1.01559	1.01955
1.01296	1.02138
1.01012	1.02286
1.00711	1.02397
1.00399	1.02468
1.00080	1.02499
0.99760	1.02488
0.99444	1.02437
0.99137	1.02346
0.98844	1.02216
0.98570	1.02050
0.98319	1.01851
0.98096	1.01621
0.97905	1.01364
0.97748	1.01085
0.97627	1.00788
0.97546	1.00478
0.97505	1.00160
0.97505	0.99840
0.97546	0.99522
0.97627	0.99212
0.97748	0.98915
0.97905	0.98636
0.98096	0.98379
0.98319	0.98149
0.98570	0.97950
0.98844	0.97784
0.99137	0.97654
0.99444	0.97563
0.99760	0.97512
1.00080	0.97501
1.00399	0.97532
1.00711	0.97603
1.01012	0.97714
1.01296	0.97862
1.01559	0.98045
1.01796	0.98261
1.02004	0.98505
1.02178	0.98773
1.02317	0.99062
1.02418	0.99366
1.02479	0.99680
1.02500	1.00000
