Time,Length,Radius,Wet mass,Cp,Ambient temperature,Starting temperature,Object temperature
0.0,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.69064685314683
1.552000000000021,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.68948135198131
3.712000000000046,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.68052156177151
5.26400000000001,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.6665355477855
7.424000000000035,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.65029137529132
8.975999999999999,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.630078125
11.136000000000024,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.621875
12.688000000000043,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.62500000000001
14.848000000000011,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.62812500000003
16.400000000000034,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.61992187500002
18.56,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.60781250000001
20.112000000000023,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.59921875
22.27199999999999,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.58281250000002
23.82400000000001,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.56796875000002
25.98400000000004,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.54531250000001
27.536,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.52070312500001
29.696000000000023,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.50546875
31.248000000000047,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.47695312500001
33.408000000000015,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.44648437500001
34.96000000000004,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.41992187500001
37.120000000000005,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.40859375000001
39.28000000000003,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.38984375000001
40.832,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.38046875000002
42.99200000000002,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.36328125000001
44.545000000000016,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.33632812500002
46.70400000000001,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.30742187500002
48.257000000000005,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.26914062500002
50.416,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.23828125000003
52.577,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.21289062500001
54.12800000000004,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.1875
56.28900000000005,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.15664062500001
57.84100000000001,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.13359375000002
60.00100000000003,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.11640625000001
62.161,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.08789062500001
63.714,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.06484375000001
65.87300000000005,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.03984375000003
67.42600000000004,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.02070312500001
69.58500000000004,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,79.0
71.13800000000003,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,78.98476562500001
73.298,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,78.95781250000002
74.85000000000002,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,78.92695312500001
77.00999999999999,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,78.9
78.56200000000001,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,78.875
80.72200000000004,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,78.85000000000001
82.27500000000003,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,78.82304687500002
84.43400000000003,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,78.7921875
85.98700000000002,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,78.770703125
88.14699999999999,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,78.75312500000003
89.69900000000001,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,78.71875
91.85900000000004,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,78.684375
93.411,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,78.66132812500001
95.57100000000004,0.1592,0.0327,0.52,0.84,5.6,79.69064685314683,78.64218750000002
