Time,Length,Radius,Wet mass,Cp,Ambient temperature,Starting temperature,Object temperature
0.0,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.56564685314684
1.5530000000000257,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.56448135198133
3.714000000000027,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.55552156177154
5.26600000000002,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.54153554778553
7.428000000000026,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.52529137529135
8.980000000000018,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.50507812500001
11.142000000000024,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.49687500000002
13.303000000000026,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.49453125000001
14.856000000000025,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.50000000000001
17.017000000000024,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.50000000000001
18.57000000000002,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.50546875000002
20.731000000000023,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.50312500000001
22.28300000000001,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.50039062500001
24.444000000000017,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.4859375
25.99700000000001,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.46367187500002
28.15800000000001,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.4375
29.710000000000008,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.41132812500001
31.87200000000001,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.38906250000001
33.42400000000001,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.38007812500001
35.58500000000001,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.37500000000001
37.138000000000005,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.36445312500001
39.29900000000001,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.35781250000001
40.852,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.34921875
43.01400000000001,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.3328125
44.565000000000026,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.31796875
46.727,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.29531250000001
48.279000000000025,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.27617187500002
50.441,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.25312500000001
51.99300000000002,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.21875000000001
54.155,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.184375
55.70600000000002,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.155859375
57.86800000000002,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.1390625
59.420000000000016,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.130078125
61.58200000000002,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.12500000000001
63.134000000000015,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.11992187500002
65.29600000000002,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.1109375
66.84700000000001,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.08867187500002
69.01000000000002,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.06250000000003
70.561,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.04179687500002
72.72300000000001,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.0171875
74.275,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,72.0
76.43700000000001,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.98281250000001
77.989,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.95820312500001
80.15100000000001,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.93750000000001
81.70200000000003,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.91132812500001
83.86500000000001,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.89453125000001
85.41600000000003,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.88320312500001
87.578,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.869921875
89.74000000000001,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.84726562500002
91.292,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.82656250000001
93.454,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.7984375
95.615,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.78320312500001
97.168,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.75820312500001
99.329,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.73125
101.49200000000002,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.71015625
103.043,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.6875
105.205,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.659375
106.758,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.640625
108.919,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.621875
110.472,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.61445312500001
112.633,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.6109375
114.185,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.59414062500001
116.347,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.56562500000001
117.899,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.53671875
120.061,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.50000000000001
121.613,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.46328125000001
123.774,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.43984375000002
125.32700000000004,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.40898437500002
127.48800000000004,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.383984375
129.65100000000004,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.357421875
131.20200000000003,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.34609375
133.364,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.32734375000001
134.91600000000005,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.31796875
137.078,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.29531250000001
138.631,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.270703125
140.792,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.25
142.345,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.223828125
144.506,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.20703125
146.669,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.190234375
148.22,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.179296875
150.383,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.16484375
151.934,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.16171875
154.097,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.14531250000002
155.648,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.12500000000001
157.81000000000003,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.10468750000003
159.362,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.09921875000002
161.52400000000003,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.08593750000001
163.076,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.05742187500002
165.23800000000003,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.025
166.79100000000005,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,71.00000000000001
168.95200000000003,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.97500000000001
170.50500000000002,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.942578125
172.66600000000005,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.9140625
174.21900000000002,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.90078125000001
176.38000000000002,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.8953125
177.93300000000002,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.88046875
180.09400000000002,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.86328125000001
181.647,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.83632812500001
183.808,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.807421875
185.361,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.769140625
187.522,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.73828125
189.68500000000003,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.70742187500001
191.236,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.68437500000002
193.39900000000003,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.66171875
194.951,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.65625000000001
197.11300000000003,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.6453125
198.665,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.62500000000001
200.82700000000003,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.6046875
202.379,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.59375
204.54100000000005,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.5828125
206.093,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.56796875
208.255,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.54531250000002
209.807,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.52070312500001
211.969,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.50000000000003
213.521,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.47929687500002
215.683,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.4546875
217.236,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.4375
219.398,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.42578125
220.95,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.398828125
223.112,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.369921875
224.664,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.331640625
226.826,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.30078125
228.98800000000003,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.26992187500001
230.54,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.24687500000002
232.70200000000003,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.22421875
234.254,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.21875000000001
236.41600000000005,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.20781250000002
237.969,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.18750000000001
240.13,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.16718750000003
241.683,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.15078125000002
243.844,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.14765625000003
246.00700000000003,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.13320312500001
247.559,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.122265625
249.72100000000003,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.10546875
251.273,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.09414062500001
253.43500000000003,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.065625
254.98800000000003,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,70.03125000000001
257.149,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.996875
258.702,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.973828125
260.86300000000006,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.95468750000002
262.41600000000005,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.93750000000001
264.577,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.92031250000002
266.13,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.89570312500001
268.29200000000003,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.87500000000003
269.84400000000005,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.85429687500002
272.00700000000006,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.83515625000001
273.558,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.81015625
275.721,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.78710937500001
277.273,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.75859375
279.43500000000006,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.74140625000001
281.597,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.712890625
283.149,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.684375
285.31100000000004,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.66171875
286.86400000000003,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.65625
289.025,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.6453125
290.578,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.63046875
292.74,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.60781250000002
294.29200000000003,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.58320312500001
296.45500000000004,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.56250000000003
298.006,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.54179687500002
300.169,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.5171875
301.721,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.5
303.88300000000004,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.48281250000001
305.43500000000006,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.45820312500001
307.598,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.43750000000001
309.149,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.41679687500002
311.312,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.3921875
312.86300000000006,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.37500000000001
315.02600000000007,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.35781250000001
316.578,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.33320312500001
318.74,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.31250000000001
320.29200000000003,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.291796875
322.45500000000004,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.26718750000002
324.006,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.24453125000001
326.169,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.23515625000002
327.72,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.21640625
329.88300000000004,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.199609375
332.04600000000005,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.17539062499999
333.598,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.15859375
335.76,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.13984375
337.312,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.12500000000001
339.475,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.10468750000001
341.02600000000007,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.09375000000001
343.189,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.0828125
344.74,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.06796874999999
346.903,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.04531250000001
348.45500000000004,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.02617187500002
350.61800000000005,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,69.00312500000001
352.169,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.96875000000001
354.332,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.93437500000002
355.884,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.91132812500003
358.04600000000005,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.8921875
359.598,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.86953125
361.761,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.8546875
363.313,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.84375
365.475,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.8328125
367.028,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.81796875
369.19000000000005,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.7953125
370.742,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.770703125
372.904,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.75
374.456,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.729296875
376.61800000000005,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.7046875
378.1710000000001,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.68203125000001
380.333,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.67265625000002
381.885,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.65390625000002
384.048,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.64257812500001
386.21,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.61601562500002
387.763,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.591015625
389.925,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.56015625
391.477,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.53125000000001
393.639,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.496875
395.192,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.468359375
397.353,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.45156250000001
398.906,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.44257812500001
401.068,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.4375
402.62,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.432421875
404.782,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.4234375
406.335,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.401171875
408.49799999999993,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.37500000000001
410.049,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.354296875
412.212,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.32968750000002
413.764,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.30703125000001
415.927,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.29218750000003
417.4789999999999,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.28125000000001
419.641,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.2703125
421.193,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.25546875
423.356,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.23281250000001
424.908,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.213671875
427.071,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.190625
428.622,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.15625000000001
430.785,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.12734375000001
432.337,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.096484375
434.5,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.07148437500001
436.05099999999993,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.04492187500001
438.214,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.028125
440.377,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.0171875
442.539,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,68.00820312500001
444.092,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,67.99726562500001
446.254,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,67.98046875000001
447.806,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,67.963671875
449.969,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,67.9375
451.521,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,67.916796875
453.684,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,67.8921875
455.236,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,67.86953125000001
457.399,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,67.86015625
458.94999999999993,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,67.84140625
461.113,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,67.82460937500001
463.275,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,67.800390625
464.828,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,67.78359375000001
466.99,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,67.76484375000001
468.542,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,67.75546875
470.706,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,67.73281250000002
472.257,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,67.70820312500001
474.42,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,67.68750000000001
475.972,0.0708,0.0326,0.194,0.84,20.8,72.56564685314684,67.66679687500002
