#x_coordinates 	 y_coordinates
1.10000	1.00000
1.09918	1.01279
1.09673	1.02537
1.09269	1.03753
1.08713	1.04907
1.08014	1.05981
1.07183	1.06957
1.06235	1.07818
1.05184	1.08551
1.04048	1.09144
1.02845	1.09587
1.01596	1.09872
1.00321	1.09995
0.99040	1.09954
0.97775	1.09749
0.96546	1.09385
0.95375	1.08866
0.94279	1.08202
0.93277	1.07403
0.92386	1.06482
0.91619	1.05455
0.90990	1.04339
0.90509	1.03151
0.90184	1.01912
0.90021	1.00641
0.90021	0.99359
0.90184	0.98088
0.90509	0.96849
0.90990	0.95661
0.91619	0.94545
0.92386	0.93518
0.93277	0.92597
0.94279	0.91798
0.95375	0.91134
0.96546	0.90615
0.97775	0.90251
0.99040	0.90046
1.00321	0.90005
1.01596	0.90128
1.02845	0.90413
1.04048	0.90856
1.05184	0.91449
1.06235	0.92182
1.07183	0.93043
1.08014	0.94019
1.08713	0.95093
1.09269	0.96247
1.09673	0.97463
1.09918	0.98721
1.10000	1.00000
