#x_coordinates 	 y_coordinates
1.05000	1.00000
1.04959	1.00639
1.04836	1.01268
1.04635	1.01876
1.04357	1.02454
1.04007	1.02991
1.03592	1.03478
1.03117	1.03909
1.02592	1.04276
1.02024	1.04572
1.01423	1.04793
1.00798	1.04936
1.00160	1.04997
0.99520	1.04977
0.98887	1.04875
0.98273	1.04692
0.97687	1.04433
0.97139	1.04101
0.96638	1.03701
0.96193	1.03241
0.95810	1.02728
0.95495	1.02169
0.95255	1.01576
0.95092	1.00956
0.95010	1.00320
0.95010	0.99680
0.95092	0.99044
0.95255	0.98424
0.95495	0.97831
0.95810	0.97272
0.96193	0.96759
0.96638	0.96299
0.97139	0.95899
0.97687	0.95567
0.98273	0.95308
0.98887	0.95125
0.99520	0.95023
1.00160	0.95003
1.00798	0.95064
1.01423	0.95207
1.02024	0.95428
1.02592	0.95724
1.03117	0.96091
1.03592	0.96522
1.04007	0.97009
1.04357	0.97546
1.04635	0.98124
1.04836	0.98732
1.04959	0.99361
1.05000	1.00000
